Province,District,Constituency,Candidate Name,Age,Gender,Political Party,Symbol,Votes Received,Status,Rank
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,क्षितिज थेबे,38,Male,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7693,,1
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,गजेन्द्र प्रसाद तुम्याङ लिम्बु,46,Male,नेपाली काँग्रेस,रुख,7097,,2
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,खेल प्रसाद बुडाक्षेत्री,50,Male,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3207,,3
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,सन्तोष राई,49,Male,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,2706,,4
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,बिरेन्द्र श्रेष्ठ,55,Male,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,1650,,5
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,"मुकसाम लाबुङ, लिम्बु",44,Male,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,125,,6
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,किर्ती मान मादेन,65,Male,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,107,,7
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,अरुन सुब्बा (लेछर्वो),48,Male,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),74,,8
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,नरपती पौडेल,61,Male,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,58,,9
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,ईन्द्र प्रसाद थापा,63,Male,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,46,,10
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,सूर्य गुरुङ,66,Male,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,18,,11
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,इन्द्र कुमार लिम्बू,48,Male,नेपाल जनमुक्ति पार्टी,घर,17,,12
कोशी प्रदेश,ताप्लेजुङ,निर्वाचन क्षेत्र नं. 1,सन्त बहादुर लिम्बु,57,Male,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,16,,13
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,हस्त राज शेर्मा,40,Male,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,4498,,1
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,नरेन्द्र कुमार केरुङ,53,Male,नेपाली काँग्रेस,रुख,3891,,2
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,हर्क बहादुर नेम्बाङ,45,Male,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3214,,3
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,अइन्द्र सुन्दर नेम्वाङ,48,Male,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3062,,4
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,टेकबहादुर सुब्बा,42,Male,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,829,,5
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,महेन्द्र विक्रम थाम्सुहाङ,57,Male,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,692,,6
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,तेज कुमार कुरुम्वाङ्ग,62,Male,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,230,,7
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,भानु भक्त फियाक,50,Male,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,64,,8
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,मित्र लिङदेन,52,Male,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),43,,9
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,नरेन्द्र प्रसाद कुरुम्‍वाङ,68,Male,नेपाल जनमुक्ति पार्टी,घर,38,,10
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,मचिन्द्र प्रसाद बेघा,69,Male,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,34,,11
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,प्रकाश काफ्ले,38,Male,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,31,,12
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,विजय नेम्वाङ,43,Male,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,24,,13
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,राम कुमार तुम्रोक,47,Male,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,13,,14
कोशी प्रदेश,पाँचथर,निर्वाचन क्षेत्र नं. 1,लक्षुमान तामाङ,40,Male,नेपाल मजदुर किसान पार्टी,मादल,5,,15
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,विनोद नेम्बाङ्ग लिम्बु,37,Male,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1720,,1
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,निश्कल राई,35,Male,नेपाली काँग्रेस,रुख,1717,,2
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,काजी मान कागते,64,Male,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,1644,,3
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,विमल गदाल,54,Male,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,1000,,4
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,रन बहादुर राई,54,Male,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,514,,5
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,बुद्ध लाल मेचे,55,Male,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,416,,6
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,हरि बहादुर गुरुङ,45,Male,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,131,,7
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,लिला बहादुर सुनुवार,58,Male,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),44,,8
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,ज्वाला  नेपाल,35,Female,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,39,,9
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,नारदमणी साङपाङ्ग,64,Male,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,20,,10
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,राम प्रसाद लिम्बू,63,Male,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,5,,11
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,तुल्सी केशरी प्रजापति (छुंजु),51,Female,नेपाल मजदुर किसान पार्टी,मादल,4,,12
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 1,डम्बर सिंह लिम्बु,68,Male,नेपाल जनमुक्ति पार्टी,घर,4,,13
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,सुहाङ नेम्बाङ,36,Male,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9151,,1
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,सुदिप राई,37,Male,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,7344,,2
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,भेषराज आचार्य,61,Male,नेपाली काँग्रेस,रुख,4988,,3
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,गोकुल बहादुर राई,32,Male,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,2335,,4
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,ओम बहादुर गुरुङ्ग,47,Male,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,675,,5
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,दिवस राई,37,Male,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,311,,6
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,पवित्रा लिम्बु तुम्वाङफे,51,Female,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,300,,7
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,श्याम बहादुर लिम्वु,39,Male,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,244,,8
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,सादर सिं लिङदेन (लिम्बु),49,Male,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,220,,9
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,गणेश प्रसाद दुलाल,64,Male,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,82,,10
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,बल बहादुर आङदेम्बे,64,Male,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),75,,11
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,याम वहादुर लिम्बु,49,Male,नेपाल जनमुक्ति पार्टी,घर,50,,12
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,होम प्रसाद खतिवडा,68,Male,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,31,,13
कोशी प्रदेश,इलाम,निर्वाचन क्षेत्र नं. 2,डाक प्रसाद गौतम,58,Male,स्वतन्त्र,मुढा,10,,14
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,निशा डाँगी,29,Female,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,22761,,1
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,केवलराम राई,48,Male,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,6146,,2
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,केशव राज पाण्डे,54,Male,नेपाली काँग्रेस,रुख,5877,,3
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,रामचन्द्र उप्रेती,67,Male,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4674,,4
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,हेमराज कार्की,60,Male,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,872,,5
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,सन्तोष तामाङ्ग,42,Male,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,546,,6
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,अशेष घिमिरे,40,Male,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,506,,7
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,नरेश कुमार लावती,46,Male,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,280,,8
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,मान बहादुर साँवा(लिम्बु),53,Male,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,79,,9
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,दुर्गा प्रसाद साँवा लिम्वु,40,Male,स्वतन्त्र,क्याप,60,,10
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,ओलीन राजवंशी,60,Male,नेपाल सद्भावना पार्टी,पञ्जा छाप,53,,11
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,गणेश कुमार खरेल,48,Male,स्वतन्त्र,क्यामरा,16,,12
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,रमा मेचे,57,Female,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,14,,13
कोशी प्रदेश,झापा,निर्वाचन क्षेत्र नं. 1,हिरण्य प्रसाद भट्टराई,83,Male,नेपाल मजदुर किसान पार्टी,मादल,13,,14
