Province,District,Constituency,Candidate Name,Age,Gender,Political Party,Symbol,Votes Received,Status,Rank
Koshi ,Bhojpur,Constituency No. 1,Yubaraj Thapa,32,Male,Aam Janata Party (Ekal Chunab Chinha),मोबाइल,35,,12
Koshi ,Bhojpur,Constituency No. 1,Gopal Kumar Rai,66,Male,Janata Samajbadi Party (Ekal Chunab Chinha),चकिया (जाँतो),256,,7
Koshi ,Bhojpur,Constituency No. 1,Sherdhan Rai,55,Male,CPN-UML,सुर्य,14750,,2
Koshi ,Bhojpur,Constituency No. 1,Dewan Raj Rai,49,Male,Nepal Communist Party (Maoist),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,203,,9
Koshi ,Bhojpur,Constituency No. 1,Raja Ram Bashi,47,Male,Nepal Majdoor Kisan Party,मादल,66,,11
Koshi ,Bhojpur,Constituency No. 1,Ajambar Rai Kangman,58,Male,Nepali Communist Party,पाँचकुने तारा,5728,,5
Koshi ,Bhojpur,Constituency No. 1,Balkrishna Thapa,73,Male,Nepali Congress,रुख,8670,,3
Koshi ,Bhojpur,Constituency No. 1,Chandra Prasad Rai,47,Male,Mongol National Organization,कुखुराको भाले,246,,8
Koshi ,Bhojpur,Constituency No. 1,Jitendra Rai,29,Male,Rastriya Pariwartan Party,बाँसुरी,812,,6
Koshi ,Bhojpur,Constituency No. 1,Janak Nepal,42,Male,Rastriya Prajatantra Party,हलो,197,,10
Koshi ,Bhojpur,Constituency No. 1,Ramesh Prashad Ojha,51,Male,Rastriya Swatantra Party,घण्टी,6102,,4
Koshi ,Bhojpur,Constituency No. 1,Dhurbaraj Rai,43,Male,Shram Sanskriti Party,अँजुलीमा रहेको माटो,16663,Elected,1
Koshi ,Dhankuta,Constituency No. 1,Prem Bahadur Thapa,34,Male,Aam Janata Party (Ekal Chunab Chinha),मोबाइल,55,,16
Koshi ,Dhankuta,Constituency No. 1,Nishan Rai,35,Male,Janata Samajbadi Party (Ekal Chunab Chinha),चकिया (जाँतो),238,,9
Koshi ,Dhankuta,Constituency No. 1,Ait Raj Limbu,50,Male,Janata Samjbadi Party-Nepal,ढल्केको छाता,432,,8
Koshi ,Dhankuta,Constituency No. 1,Rajendra Kumar Rai,59,Male,CPN-UML,सुर्य,18132,Elected,1
