Level,Province,Rank,Party Name (English),Symbol ID,Symbol Name,Votes Received,Vote Share %,Total Votes Cast,Total Voters
National,Nepal,1,Rastriya Swatantra Party,2528,,5183493,47.84,,
National,Nepal,2,Nepali Congress,2583,,1759172,16.24,,
National,Nepal,3,CPN-UML,2598,,1455885,13.44,,
National,Nepal,4,Nepali Communist Party,2557,,811577,7.49,,
National,Nepal,5,Shram Sanskriti Party,2501,,385856,3.56,,
National,Nepal,6,Rastriya Prajatantra Party,2604,,330684,3.05,,
National,Nepal,7,Janata Samjbadi Party-Nepal,2542,,182285,1.68,,
National,Nepal,8,Rastriya Pariwartan Party,2568,,172493,1.59,,
National,Nepal,9,Janamat Party,2585,,79435,0.73,,
National,Nepal,10,"Single Symbol Chakiya (Janto) [Rastriya Mukti Party Nepal / Janata Samajbadi Party / Nagarik Unmukti Party, Nepal]",2531,,62069,0.57,,
National,Nepal,11,Nepal Majdoor Kisan Party,2578,,42301,0.39,,
National,Nepal,12,Rastra Nirman Dal Nepal,2527,,39577,0.37,,
National,Nepal,13,Rastriya Janamorcha,2522,,29455,0.27,,
National,Nepal,14,Single Symbol Bus [Nepal Federal Socialist Party / Bahujan Ekata Party Nepal / Nepal Janajagrity Party],2567,,29436,0.27,,
National,Nepal,15,Nepal Janata Samrakchhyan Party,2541,,28424,0.26,,
National,Nepal,16,Pragatishil Loktantrik Party,2516,,24675,0.23,,
National,Nepal,17,Nepal Communist Party (Maoist),2526,,23864,0.22,,
National,Nepal,18,Mongol National Organization,2511,,20829,0.19,,
National,Nepal,19,Single Symbol Mobile [Aam Janata Party / Janadesh Party Nepal],2581,,19832,0.18,,
National,Nepal,20,Sarbhobham Nagarik Party,2520,,14887,0.14,,
National,Nepal,21,"Rastriya Mukti Aandolan, Nepal",2591,,10726,0.1,,
National,Nepal,22,Sainyukta Nagarik Party,2521,,9142,0.08,,
National,Nepal,23,Swabhiman Party,2569,,8156,0.08,,
National,Nepal,24,Rastriya Janamukti Party,2605,,7210,0.07,,
National,Nepal,25,Nepal Janata Party,2507,,7164,0.07,,
National,Nepal,26,Rastriya Ekata Dal,2548,,7071,0.07,,
National,Nepal,27,Nepal Communist Party (Marxist-Leninist),2602,,6172,0.06,,
National,Nepal,28,Rastriya Gaurav Party,2558,,5250,0.05,,
National,Nepal,29,National Republic Nepal,2504,,5161,0.05,,
National,Nepal,30,Gatishil Loktantrik Party,2571,,5101,0.05,,
National,Nepal,31,Nepalka Lagi Nepali Party,2524,,5019,0.05,,
National,Nepal,32,Nepal Communist Party Marxist (Pushpalal),2523,,4832,0.04,,
National,Nepal,33,Sanghiya Loktantrik Rastriya Manch,2550,,4681,0.04,,
National,Nepal,34,Nepal Communist Party (Sainyukta),2601,,4515,0.04,,
National,Nepal,35,"Rastriya Urjashil Party, Nepal",2534,,4321,0.04,,
National,Nepal,36,Samabeshi Samajbadi Party Nepal,2572,,4284,0.04,,
National,Nepal,37,Nepal Loktantrik Party,2553,,4123,0.04,,
National,Nepal,38,Nepal Matribhoomi Party,2565,,3228,0.03,,
