party_name_english,party_name_nepali,logo_file
Rastriya Swatantra Party,राष्ट्रिय स्वतन्त्र पार्टी,Rastriya Swatantra Party.png
Nepali Congress,नेपाली काँग्रेस,Nepali Congress.png
CPN-UML,नेकपा (एमाले),CPN-UML.png
Nepali Communist Party,नेपाली कम्युनिष्ट पार्टी,Nepali Communist Party.png
Shram Sanskriti Party,श्रम संस्कृति पार्टी,Shram Sanskriti Party.png
Independent,स्वतन्त्र,Independent.png
Rastriya Prajatantra Party,राष्ट्रिय प्रजातन्त्र पार्टी,Rastriya Prajatantra Party.png
Janadesh Party Nepal (Ekal Chunab Chinha),जनादेश पार्टी नेपाल(एकल चुनाव चिन्ह),Janadesh Party Nepal (Ekal Chunab Chinha).png
Nepal Janata Party,नेपाल जनता पार्टी,Nepal Janata Party.png
Samabeshi Samajbadi Party Nepal,समावेशी समाजवादी पार्टी नेपाल,Samabeshi Samajbadi Party Nepal.png
Rastriya Janamorcha,राष्ट्रिय जनमोर्चा,Rastriya Janamorcha.png
Nepali Janata Dal,नेपाली जनता दल,Nepali Janata Dal.png
Nagarik Sarwochata Party Nepal (Ekal Chunab Chinha),नागरिक सर्वोच्चता पार्टी नेपाल(एकल चुनाव चिन्ह),Nagarik Sarwochata Party Nepal (Ekal Chunab Chinha).png
Nepal Janata Samrakchhyan Party,नेपाल जनता संरक्षण पार्टी,Nepal Janata Samrakchhyan Party.png
Rastriya Ekata Dal,राष्ट्रिय एकता दल,Rastriya Ekata Dal.png
Swabhiman Party,स्वाभिमान पार्टी,Swabhiman Party.png
Nepal Sangyhia Samajbadi Party (Ekal Chunab Chinha),नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Nepal Sangyhia Samajbadi Party (Ekal Chunab Chinha).png
Nepalka Lagi Nepali Party,नेपालका लागि नेपाली पार्टी,Nepalka Lagi Nepali Party.png
Jana Adhikar Party,जन अधिकार पार्टी,Jana Adhikar Party.png
"Janata Loktantrik Party, Nepal","जनता लोकतान्त्रिक पार्टी, नेपाल","Janata Loktantrik Party, Nepal.png"
Bahujan Ekata Party Nepal (Ekal Chunab Chinha),बहुजन एकता पार्टी नेपाल(एकल चुनाव चिन्ह),Bahujan Ekata Party Nepal (Ekal Chunab Chinha).png
Bahujan Shakti Party,बहुजन शक्ति पार्टी,Bahujan Shakti Party.png
Itihasik Janata Party,इतिहासिक जनता पार्टी,Itihasik Janata Party.png
Nepal Matribhoomi Party,नेपाल मातृभूमि पार्टी,Nepal Matribhoomi Party.png
Rastriya Janata Party Nepal,राष्ट्रिय जनता पार्टी नेपाल,Rastriya Janata Party Nepal.png
"Rastriya Mukti Aandolan, Nepal","राष्ट्रिय मुक्ति आन्दोलन, नेपाल","Rastriya Mukti Aandolan, Nepal.png"
Rastriya Janamat Party,राष्ट्रिय जनमत पार्टी,Rastriya Janamat Party.png
Gatishil Loktantrik Party,गतिशील लोकतान्त्रिक पार्टी,Gatishil Loktantrik Party.png
United Nepal Democratic Party,युनाईटेड नेपाल डिमोक्रयाटीक पार्टी,United Nepal Democratic Party.png
Prajatantrik Party Nepal,प्रजातान्त्रिक पार्टी नेपाल,Prajatantrik Party Nepal.png
Nepal Janasewa Party,नेपाल जनसेवा पार्टी,Nepal Janasewa Party.png
Triumul Nepal,त्रिमूल नेपाल,Triumul Nepal.png
Nepal Communist Party (Marxist) (Ekal Chunab Chinha),नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी)(एकल चुनाव चिन्ह),Nepal Communist Party (Marxist) (Ekal Chunab Chinha).png
Nagarik Unmukti Party,नागरिक उन्मुक्ति पार्टी,Nagarik Unmukti Party.png
Rastriya Nagarik Party,राष्ट्रिय नागरिक पार्टी,Rastriya Nagarik Party.png
Gandhibadi Party Nepal,गान्धीवादी पार्टी नेपाल,Gandhibadi Party Nepal.png
Nepal Manabta Party,नेपाल मानवतावादी पार्टी,Nepal Manabta Party.png
National Republic Nepal,नेशनल रिपब्लिक नेपाल,National Republic Nepal.png
Mongol National Organization,मंगोल नेशनल अर्गनाइजेसन,Mongol National Organization.png
Sanghiya Loktantrik Rastriya Manch,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,Sanghiya Loktantrik Rastriya Manch.png
Janata Samjbadi Party-Nepal,"जनता समाजवादी पार्टी, नेपाल",Janata Samjbadi Party-Nepal.png
Janata Samajbadi Party (Ekal Chunab Chinha),जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Janata Samajbadi Party (Ekal Chunab Chinha).png
Nepal Janamukti Party,नेपाल जनमुक्ति पार्टी,Nepal Janamukti Party.png
Nepal Communist Party (Maoist),नेपाल कम्युनिस्ट पार्टी (माओवादी),Nepal Communist Party (Maoist).png
Ujaylo Nepal Party,उज्यालो नेपाल पार्टी,Ujaylo Nepal Party.png
Nepal Majdoor Kisan Party,नेपाल मजदुर किसान पार्टी,Nepal Majdoor Kisan Party.png
Pragatishil Loktantrik Party,प्रगतिशील लोकतान्त्रिक पार्टी,Pragatishil Loktantrik Party.png
Rastriya Pariwartan Party,राष्ट्रिय परिवर्तन पार्टी,Rastriya Pariwartan Party.png
Rastriya Mukti Party Nepal (Ekal Chunab Chinha),राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),Rastriya Mukti Party Nepal (Ekal Chunab Chinha).png
Rastriya Janamukti Party,राष्ट्रिय जनमुक्ति पार्टी,Rastriya Janamukti Party.png
Nepal Communist Party (Sainyukta),नेपाल कम्युनिष्ट पार्टी (संयुक्त),Nepal Communist Party (Sainyukta).png
Janamat Party,जनमत पार्टी,Janamat Party.png
Nepal Loktantrik Party,नेपाल लोकतान्त्रिक पार्टी,Nepal Loktantrik Party.png
Nepal Communist Party Marxist (Pushpalal),नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),Nepal Communist Party Marxist (Pushpalal).png
People First Party,पिपुल फर्ष्ट पार्टी,People First Party.png
Nepal Sadbhavana Party,नेपाल सद्भावना पार्टी,Nepal Sadbhavana Party.png
Aam Janata Party (Ekal Chunab Chinha),आम जनता पार्टी(एकल चुनाव चिन्ह),Aam Janata Party (Ekal Chunab Chinha).png
Miteri Party Nepal,मितेरी पार्टी नेपाल,Miteri Party Nepal.png
"Rastriya Urjashil Party, Nepal","राष्ट्रिय उर्जाशील पार्टी, नेपाल","Rastriya Urjashil Party, Nepal.png"
Sainyukta Nagarik Party,संयुक्त नागरिक पार्टी,Sainyukta Nagarik Party.png
Jaya Matribhumi Party,जय मातृभूमि पार्टी,Jaya Matribhumi Party.png
"Nagarik Unmukti Party, Nepal (Ekal Chunab Chinha)","नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)","Nagarik Unmukti Party, Nepal (Ekal Chunab Chinha).png"
Rastra Nirman Dal Nepal,राष्ट्र निर्माण दल नेपाल,Rastra Nirman Dal Nepal.png
Samabeshi Samajbadi Party,समावेशी समाजवादी पार्टी,Samabeshi Samajbadi Party.png
Sarbhobham Nagarik Party,सार्वभौम नागरिक पार्टी,Sarbhobham Nagarik Party.png
Nepali Janashramdan Sanskriti Party,नेपाली जनश्रमदान संस्कृति पार्टी,Nepali Janashramdan Sanskriti Party.png
Rastriya Sajha Party,राष्ट्रिय साझा पार्टी,Rastriya Sajha Party.png
